iter	Passed	Remaining
938	14444	938
939	14463	923
940	14481	908
941	14500	892
942	14517	877
943	14535	862
944	14553	847
945	14571	831
946	14588	816
947	14605	801
948	14622	785
949	14639	770
950	14655	755
951	14671	739
952	14688	724
953	14705	709
954	14722	693
955	14738	678
956	14754	662
957	14770	647
958	14787	632
959	14804	616
960	14821	601
961	14838	586
962	14854	570
963	14871	555
964	14889	540
965	14905	524
966	14921	509
967	14938	493
968	14954	478
969	14971	463
970	14988	447
971	15004	432
972	15020	416
973	15037	401
974	15054	386
975	15070	370
976	15087	355
977	15103	339
978	15120	324
979	15136	308
980	15153	293
981	15170	278
982	15186	262
983	15203	247
984	15223	231
985	15241	216
986	15258	200
987	15276	185
988	15293	170
989	15310	154
990	15328	139
991	15345	123
992	15362	108
993	15379	92
994	15397	77
995	15415	61
996	15432	46
997	15450	30
998	15467	15
999	15484	0
